index,Product_name,Brand,Rating,No_Rating,key_benefits_list,Ingredients,Benefits
405,Bjain Omeo Mouth Ulcer Tablet,Bjain Pharmaceuticals Pvt Ltd,4.4,48 Ratings,],[']'],[]
406,SBL Hypericum Perforatum Dilution 200 CH,SBL Pvt Ltd,4.6,332 Ratings,"Extracts of whole blooming hypericum plant., Treats hyperhydrosis, Reduces nervousness, Heals nerve Injuries and crushed injuries, Relieves headache, Eases pain in joints, Read the label carefully, Self-medication is not advised, Do not exceed the recommended dose, Keep out of the reach of children","['Treats hyperhydrosis', 'Reduces nervousness', 'Relieves headache']","['Extracts of whole blooming hypericum plant.', 'Heals nerve Injuries and crushed injuries', 'Eases pain in joints', 'Read the label carefully', 'Self-medication is not advised', 'Do not exceed the recommended dose', 'Keep out of the reach of children']"
407,SBL Allium Sativum Mother Tincture Q,SBL Pvt Ltd,4.7,165 Ratings,"Garlic, Alcohol, Relieves from abdominal pain and constipation, Helps against overeating and salt restriction, Helps in reducing mucus formation and acidity, Improves water consumption in people with good appetite, Provides effective treatment against pulmonary tuberculosis and hip pain, Relieves heaviness in the head, Relieves cough, chest pain and cold air sensitiveness, Useful in treating pain and swelling of breasts in the women, Treats eruption near genitals during menses, Read the label carefully before use, Do not exceed the recommended dosage, Use under medical supervision, Keep out of the reach of children, Store in a cool and dry place","['Garlic', 'Alcohol', 'Relieves cough']","['Relieves from abdominal pain and constipation', 'Helps against overeating and salt restriction', 'Helps in reducing mucus formation and acidity', 'Improves water consumption in people with good appetite', 'Provides effective treatment against pulmonary tuberculosis and hip pain', 'Relieves heaviness in the head', 'chest pain and cold air sensitiveness', 'Useful in treating pain and swelling of breasts in the women', 'Treats eruption near genitals during menses', 'Read the label carefully before use', 'Do not exceed the recommended dosage', 'Use under medical supervision', 'Keep out of the reach of children', 'Store in a cool and dry place']"
408,SBL Allium Cepa Dilution 30 CH,SBL Pvt Ltd,4.5,359 Ratings,"Provides effective relief from cold, catarrh and cough, Helps in treating eye infections, Useful in treating hay fever, Useful in treating earaches, Helps relieve shooting sensations in the eustachian tube, Helps relieving neuralgic pains, Helpful in chronic traumatic neuritis, Indicated for burning pain in nose, skin, throat, and bladder, Treats weakness in both bladder and urethra, Reduces increased urine secretion, Read the label carefully beofore use, Self-medication is not advised, Do not exceed the recommended dose, Keep out of the reach of children, Store in a cool and dry place","['skin', 'throat', 'and bladder']","['Provides effective relief from cold', 'catarrh and cough', 'Helps in treating eye infections', 'Useful in treating hay fever', 'Useful in treating earaches', 'Helps relieve shooting sensations in the eustachian tube', 'Helps relieving neuralgic pains', 'Helpful in chronic traumatic neuritis', 'Indicated for burning pain in nose', 'Treats weakness in both bladder and urethra', 'Reduces increased urine secretion', 'Read the label carefully beofore use', 'Self-medication is not advised', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool and dry place']"
409,Bjain Lycopodium Clavatum Dilution 200 CH,Bjain Pharmaceuticals Pvt Ltd,4.7,46 Ratings,"Lycopodium clavatum, It helps in the healing of ear discharges, coryza, toothache, and tonsillitis, It is effective for urinary complaints such as retention, polyuria, pain before urination, and red sediments in the urine, It keeps the liver functioning healthy and relieves renal calculi effectively, It helps with gastric disturbances, cough, and skin complaints such as hives, varicose veins, and offensive perspiration are also aided by this remedy, It maintains good health and overall well-being of the body, Read the label carefully before use, Store in a cool and dry place, away from sunlight, Keep out of the reach of children, Keep at least half an hour gap between food, drink, or any other medicines","['Lycopodium clavatum', 'coryza', 'toothache', 'and tonsillitis', 'polyuria', 'cough', 'varicose veins', 'drink']","['It helps in the healing of ear discharges', 'It is effective for urinary complaints such as retention', 'pain before urination', 'and red sediments in the urine', 'It keeps the liver functioning healthy and relieves renal calculi effectively', 'It helps with gastric disturbances', 'and skin complaints such as hives', 'and offensive perspiration are also aided by this remedy', 'It maintains good health and overall well-being of the body', 'Read the label carefully before use', 'Store in a cool and dry place', 'away from sunlight', 'Keep out of the reach of children', 'Keep at least half an hour gap between food', 'or any other medicines']"
410,Medisynth Diabekoll Non-Sugar Syrup,Medisynth Chemicals Pvt Ltd,4.3,61 Ratings,"Syzigium jambolanum, Gymnema sylvestre, Abroma augista, Cephalandra indica, Acidum phos, The syrup helps to lower blood sugar levels, It helps to overcome debility, The formulation helps urinary complications, It relieves thirst, It helps in the restoration of pancreatic cells, Use as directed on the label or by the physician, Keep out of reach of children, Store in a cool and dry place, Self-medication is not advisable, Do not exceed the recommended dosage, Read the label before use","['Syzigium jambolanum', 'Gymnema sylvestre', 'Abroma augista', 'Cephalandra indica', 'Acidum phos']","['The syrup helps to lower blood sugar levels', 'It helps to overcome debility', 'The formulation helps urinary complications', 'It relieves thirst', 'It helps in the restoration of pancreatic cells', 'Use as directed on the label or by the physician', 'Keep out of reach of children', 'Store in a cool and dry place', 'Self-medication is not advisable', 'Do not exceed the recommended dosage', 'Read the label before use']"
411,Dr Willmar Schwabe India Munostim Globules,Dr Willmar Schwabe India Pvt Ltd,4.5,173 Ratings,"Echinacea angustifolia, Thuja occidentalis, Propolis, Eleutherococcus, It increases resistance against invasion by pathogens, It regulates vital functions of the body, It has antibacterial properties, 5 globules 3 times a day, Or as advised by your healthcare practitioner, Read the label carefully before use, Store in a cool and dry place, away from sunlight, Keep out of reach of children, Do not exceed the recommended dose","['Echinacea angustifolia', 'Thuja occidentalis', 'Propolis', 'Eleutherococcus']","['It increases resistance against invasion by pathogens', 'It regulates vital functions of the body', 'It has antibacterial properties', '5 globules 3 times a day', 'Or as advised by your healthcare practitioner', 'Read the label carefully before use', 'Store in a cool and dry place', 'away from sunlight', 'Keep out of reach of children', 'Do not exceed the recommended dose']"
412,Medisynth Alfamalt Forte Malt,Medisynth Chemicals Pvt Ltd,4.4,153 Ratings,"Alfalfa, Avenasativa, Cinchona officinalis, Hydrasticcanadensis, Witania somnifera, Acidum phosphoricum, Ferrum phosphoricum, Kali phosphoricum, Natrum phosphoricum, Calcarea phosphorica, Magnesium phosphoricum, The syrup stimulates the physical and mental functions of the body, It helps to prevent nervous exhaustion, irritability, and malnutrition, It improves appetite, digestion, and flatulence, It helps in gaining body weight, It boosts immunity, Use as directed on the label or by the physician, Keep out of reach of children, Store in a cool and dry place, Self-medication is not advisable, Do not exceed the recommended dosage, Read the label before use","['Alfalfa', 'Avenasativa', 'Cinchona officinalis', 'Hydrasticcanadensis', 'Witania somnifera', 'Acidum phosphoricum', 'Ferrum phosphoricum', 'Kali phosphoricum', 'Natrum phosphoricum', 'Calcarea phosphorica', 'Magnesium phosphoricum', 'irritability', 'and malnutrition', 'digestion', 'and flatulence']","['The syrup stimulates the physical and mental functions of the body', 'It helps to prevent nervous exhaustion', 'It improves appetite', 'It helps in gaining body weight', 'It boosts immunity', 'Use as directed on the label or by the physician', 'Keep out of reach of children', 'Store in a cool and dry place', 'Self-medication is not advisable', 'Do not exceed the recommended dosage', 'Read the label before use']"
413,Bjain Baryta Carbonica Dilution 30 CH,Bjain Pharmaceuticals Pvt Ltd,4.8,29 Ratings,"Baryta Carb, It helps in the healing of prostate troubles and dyspepsia, It is effective for complaints such as weakness of memory, vision troubles in old age, hardness of hearing, coryza and epistaxis, It helps with epigastric tenderness, colic, constipation and haemorrhoids, Dry suffocative cough, palpitations, and foot sweats are also aided by this remedy, Read the label carefully before use, Keep out of the reach of children, Store in a cool and dry place, Keep away from direct sunlight","['Baryta Carb', 'colic', 'palpitations']","['It helps in the healing of prostate troubles and dyspepsia', 'It is effective for complaints such as weakness of memory', 'vision troubles in old age', 'hardness of hearing', 'coryza and epistaxis', 'It helps with epigastric tenderness', 'constipation and haemorrhoids', 'Dry suffocative cough', 'and foot sweats are also aided by this remedy', 'Read the label carefully before use', 'Keep out of the reach of children', 'Store in a cool and dry place', 'Keep away from direct sunlight']"
414,Dr. Reckeweg Wiesbaden Dilution 30 CH,Dr Reckeweg & Co,4.2,226 Ratings,"Wiesbaden Dilution, Effective for treatment of hair problem, Prevents hair fall, Promote hair growth, Strengthens hair root, Increases hair density, add bounce and volume to hair, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children",['Wiesbaden Dilution'],"['Effective for treatment of hair problem', 'Prevents hair fall', 'Promote hair growth', 'Strengthens hair root', 'Increases hair density', 'add bounce and volume to hair', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children']"
415,SBL Acid Chryso Ointment,SBL Pvt Ltd,4.3,131 Ratings,"Acid chryso (White petrolatum, paraffin and lanolin), Provides relief in psoriasis with pimply, dry, rough, scaly skin, Treat eruptions on scalp, extending to face and neck, Provides relief from psoriasis when the crusts are sticky and thick, Treat patients suffering from psoriasis on palms, soles, trunks and extremities with circular patches, circular spots with scaly edges, Cure patients with thick, dry and unhealthy skin with psoriasis, herpes and acne rosacea, Useful in treating dry eczema, psoriasis vulgaris and eruptions, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children","['dry', 'rough', 'scaly skin', 'soles']","['Acid chryso (White petrolatum', 'paraffin and lanolin)', 'Provides relief in psoriasis with pimply', 'Treat eruptions on scalp', 'extending to face and neck', 'Provides relief from psoriasis when the crusts are sticky and thick', 'Treat patients suffering from psoriasis on palms', 'trunks and extremities with circular patches', 'circular spots with scaly edges', 'Cure patients with thick', 'dry and unhealthy skin with psoriasis', 'herpes and acne rosacea', 'Useful in treating dry eczema', 'psoriasis vulgaris and eruptions', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children']"
416,SBL Histaminum Dilution 30 CH,SBL Pvt Ltd,4.5,453 Ratings,"Histamine Hydrochloride, Effective for itching, skin rashes, redness, swelling, Treat problems related to bronchial agitation, Alleviate swelling, chronic urticaria, chronic hives, Provides relief in gastric pain, Gives relief from breathing problem, bronchial asthma, nasal congestion, hay fever and eczema, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Store in a cool, dry and dark place, Protect from direct sunlight","['Histamine Hydrochloride', 'skin rashes', 'redness', 'swelling', 'Alleviate swelling', 'chronic urticaria', 'chronic hives', 'bronchial asthma', 'nasal congestion']","['Effective for itching', 'Treat problems related to bronchial agitation', 'Provides relief in gastric pain', 'Gives relief from breathing problem', 'hay fever and eczema', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool', 'dry and dark place', 'Protect from direct sunlight']"
417,Bjain Andrographis Paniculata Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,4.5,27 Ratings,"Andrographis Paniculata, It contains anti-viral and antibacterial properties used to get relief from cough, sore throat and the common cold, It is effective for burning sensation in the body, It helps with thick yellow urine, fever, chilliness, and headaches are also aided by this remedy, It is indicated in torpidity of the liver, neuralgia, dyspepsia and, in general, debility, It helps to lower sugar and cholesterol levels in the body, Read the label carefully before use, Consult your physician before taking any homoeopathic remedy if you are pregnant or breastfeeding, Store in a cool, dry place away from direct sunlight, Keep out of reach of the children","['Andrographis Paniculata', 'fever', 'chilliness', 'neuralgia', 'dyspepsia and', 'in general', 'debility']","['It contains anti-viral and antibacterial properties used to get relief from cough', 'sore throat and the common cold', 'It is effective for burning sensation in the body', 'It helps with thick yellow urine', 'and headaches are also aided by this remedy', 'It is indicated in torpidity of the liver', 'It helps to lower sugar and cholesterol levels in the body', 'Read the label carefully before use', 'Consult your physician before taking any homoeopathic remedy if you are pregnant or breastfeeding', 'Store in a cool', 'dry place away from direct sunlight', 'Keep out of reach of the children']"
418,ADEL 21 Proscenat Drop,Adel Pekana Germany,4.6,103 Ratings,"Acidum sulfuricum, Conium, Staphysagria, Cantharis, Selenium, Nasturtium aquaticum, Ononis spinosa, Promotes normal prostate maintenance and function, Aids in combating symptoms of an enlarged or inflamed prostate, The formulation helps to manage hair loss and balances hormone levels, Aids to shrink the inner lining of the prostate which may then relieve pressure on tubes that carry urine, It is best avoided in pregnancy, lactation and children, Read the label carefully before use, Store in a cool and dry place, away from sunlight, Keep out of reach of children, ""Dont exceed the recommended dosage"", Use under medical supervision, Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking medicine, Avoid eating tobacco or drinking alcohol during the course","['Acidum sulfuricum', 'Conium', 'Staphysagria', 'Cantharis', 'Selenium', 'Nasturtium aquaticum', 'Ononis spinosa', 'onion', 'hing', 'mint', 'camphor', 'garlic etc.']","['Promotes normal prostate maintenance and function', 'Aids in combating symptoms of an enlarged or inflamed prostate', 'The formulation helps to manage hair loss and balances hormone levels', 'Aids to shrink the inner lining of the prostate which may then relieve pressure on tubes that carry urine', 'It is best avoided in pregnancy', 'lactation and children', 'Read the label carefully before use', 'Store in a cool and dry place', 'away from sunlight', 'Keep out of reach of children', '""Dont exceed the recommended dosage""', 'Use under medical supervision', 'Avoid any strong smell in the mouth', 'such as coffee', 'while taking medicine', 'Avoid eating tobacco or drinking alcohol during the course']"
419,Bakson's Rheum Aid Tablet,Bakson's Homeopathy,4.6,142 Ratings,"Calcarea phos, Ferrum phos, Kali. phos, Natrum phos, Magnesium phos, Berberis vulg, Causticum, Rhododendron chrys, Rhus tox, ""Baksons Rheum Aid Tablets are effective against joint pains, muscular weakness, and fatigue. Tones up the musculoskeletal system"", Considered one of the best tablets for joint pain, Rheum aid tablets are used to tone up the musculoskeletal system, These bone health tablets accelerate the healing process of a fracture or any other bones related injury, Provides strength to arteries and deals with lack of blood corpuscles as in anaemia, Also used to relieve cramps in the thighs, calves, and soles, Helps in relieving symptoms of depression, and anxiety and in mitigating painful migraine and headache, Its homoeopathic composition makes it safe to use and it doesn’t trigger any side effects, Read the label carefully before use, Do not exceed the recommended dose, Store in a cool, dry place away from direct sunlight","['Calcarea phos', 'Ferrum phos', 'Kali. phos', 'Natrum phos', 'Magnesium phos', 'Berberis vulg', 'Causticum', 'Rhododendron chrys', 'Rhus tox', 'muscular weakness', 'calves', 'and soles']","['""Baksons Rheum Aid Tablets are effective against joint pains', 'and fatigue. Tones up the musculoskeletal system""', 'Considered one of the best tablets for joint pain', 'Rheum aid tablets are used to tone up the musculoskeletal system', 'These bone health tablets accelerate the healing process of a fracture or any other bones related injury', 'Provides strength to arteries and deals with lack of blood corpuscles as in anaemia', 'Also used to relieve cramps in the thighs', 'Helps in relieving symptoms of depression', 'and anxiety and in mitigating painful migraine and headache', 'Its homoeopathic composition makes it safe to use and it doesn’t trigger any side effects', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Store in a cool', 'dry place away from direct sunlight']"
420,SBL AF-Tabs Tablet,SBL Pvt Ltd,4.7,182 Ratings,"Gelsemium sempervirens, Eupatorium perfoliatum, Bellis perennis, Bryonia alba, It helps to relieve harsh and dry cough with pain in the chest, It improves convulsive cough, catarrh and hoarseness in the throat, It is helpful for spasmodic cough and viscous mucus, It reduce the hot, burning, and swelling pain in the throat that can progress to diphtheria, Store in a cool and dry place, Keep away from direct sunlight","['Gelsemium sempervirens', 'Eupatorium perfoliatum', 'Bellis perennis', 'Bryonia alba', 'burning']","['It helps to relieve harsh and dry cough with pain in the chest', 'It improves convulsive cough', 'catarrh and hoarseness in the throat', 'It is helpful for spasmodic cough and viscous mucus', 'It reduce the hot', 'and swelling pain in the throat that can progress to diphtheria', 'Store in a cool and dry place', 'Keep away from direct sunlight']"
421,Bjain Terminalia Arjuna Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,4.7,91 Ratings,"It is used for improving cardiovascular health, It strengthens cardiac muscles and prevents any serious illness affecting it, It helps in regulating heartbeat, Highly useful in facilitating the healing process in case of injuries, Helps in improving energy levels and reduces fatigue, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Use under medical supervision, Store in a cool dry place away from direct sunlight and heat",[],"['It is used for improving cardiovascular health', 'It strengthens cardiac muscles and prevents any serious illness affecting it', 'It helps in regulating heartbeat', 'Highly useful in facilitating the healing process in case of injuries', 'Helps in improving energy levels and reduces fatigue', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Use under medical supervision', 'Store in a cool dry place away from direct sunlight and heat']"
422,SBL Drops No. 8 ( For Allergic Rhinitis),SBL Pvt Ltd,4.4,240 Ratings,"Allium Cepa, Euphrasia officinalis, Sabadilla, Solidago Vir, Allium Cepa can help reduce profuse watery, acrid nasal discharge with sneezing, Euphrasia officinalis may aid in minimising obstruction of the nose at night and coryza with the abundant secretion of mucus and tears in eyes, Sabadilla helps alleviate continuous sneezing, watery coryza, red eyelids, and burning sensations, Solidago Vir might help ease sneezing with water, burning and stinging pain in the eyes, Adult: 10 drops, Children: 5 drops, In 1/4th cup of water 4 times a day or as directed by the physician, Do not exceed the recommended dosage, Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of children, Avoid any strong smell in the mouth such as coffee, onion, hing, mint, camphor, garlic etc. while taking the medicine, Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine","['Allium Cepa', 'Euphrasia officinalis', 'Sabadilla', 'Solidago Vir', 'watery coryza', 'red eyelids', 'onion', 'hing', 'mint', 'camphor']","['Allium Cepa can help reduce profuse watery', 'acrid nasal discharge with sneezing', 'Euphrasia officinalis may aid in minimising obstruction of the nose at night and coryza with the abundant secretion of mucus and tears in eyes', 'Sabadilla helps alleviate continuous sneezing', 'and burning sensations', 'Solidago Vir might help ease sneezing with water', 'burning and stinging pain in the eyes', 'Adult: 10 drops', 'Children: 5 drops', 'In 1/4th cup of water 4 times a day or as directed by the physician', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool dry place away from direct sunlight', 'Keep out of reach of children', 'Avoid any strong smell in the mouth such as coffee', 'garlic etc. while taking the medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
423,Dr. Reckeweg R70 Neuralgia Drop,Dr Reckeweg & Co,4.5,120 Ratings,"Cedron, Colocynthis, Kalmia, Verbascum, Cedron can be helpful for periodical attacks of pain, often left-sided and supra-orbital, Colocynthis may aid in minimising cramping and tearing pains frequently experienced below the orbit radiating to the eye, Kalmia might assist in alleviating sudden sharp pains and burning sensations in the supraorbital region, Verbascum can be beneficial for infra- and supra-orbital neuralgia and burning pain due to exposure to dry cold weather, Do not exceed the recommended dosage, Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of children, Avoid any strong smell in the mouth such as coffee, onion, hing, mint, camphor, garlic etc. while taking the medicine, Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine","['Cedron', 'Colocynthis', 'Kalmia', 'Verbascum', 'onion', 'hing', 'mint', 'camphor']","['Cedron can be helpful for periodical attacks of pain', 'often left-sided and supra-orbital', 'Colocynthis may aid in minimising cramping and tearing pains frequently experienced below the orbit radiating to the eye', 'Kalmia might assist in alleviating sudden sharp pains and burning sensations in the supraorbital region', 'Verbascum can be beneficial for infra- and supra-orbital neuralgia and burning pain due to exposure to dry cold weather', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool dry place away from direct sunlight', 'Keep out of reach of children', 'Avoid any strong smell in the mouth such as coffee', 'garlic etc. while taking the medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
424,SBL Mercurius Solubilis Dilution 30 CH,SBL Pvt Ltd,4.6,346 Ratings,"Reduces the sweating or nose bleeding during the day and night and the heat of bed in cold and damp weather, Removes the bad breath and discharging and foul smell, It helps to manage the loss of hair and oily sweat on the head, Reduces the inflammation and stinging burning on the scalp, Helps with the vertigo and headaches, It relieves the burning and corrosive discharges in the eyes, Good remedy for nose bleeds, foul smelling and bloody discharges, swelling and destruction of nasal bones, sneezing when goes out in sunshine, Reduces and calms the boils in external canal, Reduces the sensitivity in stomach with touch and leaving you with the feeling of continuous hunger, Helps in handling the trembling of hands and paralysis or the bone pains in limbs at night, Keep out of the reach of children, Use under medical supervision, Read the label carefully before use, Avoid eating tobacco or drinking alcohol during the course, Avoid any strong smell in the mouth such as coffee, onion, hing, mint, camphor, garlic etc while taking the medicine, Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine","['onion', 'hing', 'mint', 'camphor']","['Reduces the sweating or nose bleeding during the day and night and the heat of bed in cold and damp weather', 'Removes the bad breath and discharging and foul smell', 'It helps to manage the loss of hair and oily sweat on the head', 'Reduces the inflammation and stinging burning on the scalp', 'Helps with the vertigo and headaches', 'It relieves the burning and corrosive discharges in the eyes', 'Good remedy for nose bleeds', 'foul smelling and bloody discharges', 'swelling and destruction of nasal bones', 'sneezing when goes out in sunshine', 'Reduces and calms the boils in external canal', 'Reduces the sensitivity in stomach with touch and leaving you with the feeling of continuous hunger', 'Helps in handling the trembling of hands and paralysis or the bone pains in limbs at night', 'Keep out of the reach of children', 'Use under medical supervision', 'Read the label carefully before use', 'Avoid eating tobacco or drinking alcohol during the course', 'Avoid any strong smell in the mouth such as coffee', 'garlic etc while taking the medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
425,Bhargava Garcinia Cambogia Drop,Bhargava Phytolab,4.1,84 Ratings,"The formula can help maintain a healthy weight, It may aid in regulating blood sugar and cholesterol levels, It might reduce pain in the bones and joints, It can help protect the liver and heart, It may improve respiratory and kidney health, Do not exceed the recommended dosage, Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of children",[],"['The formula can help maintain a healthy weight', 'It may aid in regulating blood sugar and cholesterol levels', 'It might reduce pain in the bones and joints', 'It can help protect the liver and heart', 'It may improve respiratory and kidney health', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool dry place away from direct sunlight', 'Keep out of reach of children']"
426,Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),Dr Batra Positive Health Products Limited,4.1,84 Ratings,"Echinacea, Aconitum Nappelus, Sambucus Nigra, Baptisia Tinctoria, Thuja, Echinacea helps to increase white blood cells, which help in fighting infections and builds the immune system, Help fight bacterial and viral infections, Aconitum Nappelus helps those who become ill after a cold and cough, Helps to improve immunity and acts as an anti-septic, Thuja acts on the lymphatic\xa0 system and swollen glands, It is safe, scientific and long-lasting, Read the label carefully before use, Keep out of reach of the children, Store in a cool dry place","['Echinacea', 'Aconitum Nappelus', 'Sambucus Nigra', 'Baptisia Tinctoria', 'Thuja']","['Echinacea helps to increase white blood cells', 'which help in fighting infections and builds the immune system', 'Help fight bacterial and viral infections', 'Aconitum Nappelus helps those who become ill after a cold and cough', 'Helps to improve immunity and acts as an anti-septic', 'Thuja acts on the lymphatic\\xa0 system and swollen glands', 'It is safe', 'scientific and long-lasting', 'Read the label carefully before use', 'Keep out of reach of the children', 'Store in a cool dry place']"
427,SBL Drops No. 5 (For Cervical Pain),SBL Pvt Ltd,4.5,189 Ratings,],[']'],[]
428,SBL Blatta Orientalis Mother Tincture Q,SBL Pvt Ltd,4.5,153 Ratings,"Triturated live insects, Sugar of milk, Helps in reducing breathing difficulties, Effective in treating severe cough and lung infection, Effective in malarial cases, Useful in treatment of bronchitis and tuberculosis, It is a recommended remedy for asthma, Helps in reducing discharge of thick mucus, Read the label carefully before use, Self medication is not advised, Do not exceed the recommended dosage, Keep out of the reach of children, Store in a cool and dry place",[],"['Triturated live insects', 'Sugar of milk', 'Helps in reducing breathing difficulties', 'Effective in treating severe cough and lung infection', 'Effective in malarial cases', 'Useful in treatment of bronchitis and tuberculosis', 'It is a recommended remedy for asthma', 'Helps in reducing discharge of thick mucus', 'Read the label carefully before use', 'Self medication is not advised', 'Do not exceed the recommended dosage', 'Keep out of the reach of children', 'Store in a cool and dry place']"
429,Dr. Reckeweg Chelidonium Maj Mother Tincture Q,Dr Reckeweg & Co,4.7,145 Ratings,"It can help in relieving pain and inflammation in the eyes, The solution can aid in relieving nausea, vomiting and whooping cough, It can be useful in managing the enlargement of the liver and the formation of stones in the gallbladder, It can aid in increasing the production of bile and digestive enzymes to promote better digestion, The drop can help relieve stomach ulcers and irritable bowel syndrome, Provides effective relief from gastric problems, Acts as a sedative and effectively corrects anxiety and sleeping deprivation, Read the label carefully before use, Store in a cool and dry place, away from sunlight, Keep out of reach of children, Don’t exceed the recommended dosage, Use under medical supervision, Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking medicine, Avoid eating tobacco or drinking alcohol during the course","['onion', 'hing', 'mint', 'camphor', 'garlic etc.']","['It can help in relieving pain and inflammation in the eyes', 'The solution can aid in relieving nausea', 'vomiting and whooping cough', 'It can be useful in managing the enlargement of the liver and the formation of stones in the gallbladder', 'It can aid in increasing the production of bile and digestive enzymes to promote better digestion', 'The drop can help relieve stomach ulcers and irritable bowel syndrome', 'Provides effective relief from gastric problems', 'Acts as a sedative and effectively corrects anxiety and sleeping deprivation', 'Read the label carefully before use', 'Store in a cool and dry place', 'away from sunlight', 'Keep out of reach of children', 'Don’t exceed the recommended dosage', 'Use under medical supervision', 'Avoid any strong smell in the mouth', 'such as coffee', 'while taking medicine', 'Avoid eating tobacco or drinking alcohol during the course']"
430,Bjain Omeo Ear Drop,Bjain Pharmaceuticals Pvt Ltd,4.7,145 Ratings,"Calendula officinalis 0.30ml, Verbascum thapsus 0.10ml, Mezereum 0.02ml, Resorcinum 1X 36.0mg, Acidum boracicum 1X 10.0mg, It acts as an antiseptic or disinfectant for ears, It is beneficial to minimise earache, It contains verbascum thapsus, which is beneficial for relieving earache at once, It also contains resorcinum that may be used as an antiseptic disinfectant, Store in a cool and dry place away from direct sunlight, Read the label carefully, Keep out of reach of children",['Mezereum 0.02ml'],"['Calendula officinalis 0.30ml', 'Verbascum thapsus 0.10ml', 'Resorcinum 1X 36.0mg', 'Acidum boracicum 1X 10.0mg', 'It acts as an antiseptic or disinfectant for ears', 'It is beneficial to minimise earache', 'It contains verbascum thapsus', 'which is beneficial for relieving earache at once', 'It also contains resorcinum that may be used as an antiseptic disinfectant', 'Store in a cool and dry place away from direct sunlight', 'Read the label carefully', 'Keep out of reach of children']"
431,SBL Alfalfa Mother Tincture Q,SBL Pvt Ltd,4.5,206 Ratings,"Plant extract of medicago sativa, Ethanol, Helps in improving appetite, Improves mental and physical vigour, Reduces headache and abdominal pain, Helpful in reducing frequent urination, Useful in treating kidney and prostate conditions, Read the label carefully before use, Self-medication is not advised, Do not exceed the recommended dosage, Keep out of the reach of children, Store in a cool and dry place",['Ethanol'],"['Plant extract of medicago sativa', 'Helps in improving appetite', 'Improves mental and physical vigour', 'Reduces headache and abdominal pain', 'Helpful in reducing frequent urination', 'Useful in treating kidney and prostate conditions', 'Read the label carefully before use', 'Self-medication is not advised', 'Do not exceed the recommended dosage', 'Keep out of the reach of children', 'Store in a cool and dry place']"
432,Dr. Reckeweg Bryonia Alba Dilution 200 CH,Dr Reckeweg & Co,4.6,316 Ratings,"It is primarily used for the treatment of influenza, coryza, arthritis and rheumatism, It relieves symptoms of flu such as constant sneezing and cold, It is used to soothe sore throat and treating excessive cough, It is also helpful in the treatment of joint and muscle pains associated with rheumatism and arthritis, Helpful in treating issues related to the respiratory system such as dry cough, asthma and difficulty breathing, Its uses also include treatment of gastro-intestinal infection and dysentery and it also helps correct feelings of fullness and nausea, It is also helpful in treating severe headache associated with constipation, It effectively improves digestion and assists in better defecation, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Store in a cool dry place away from direct sunlight and heat",['coryza'],"['It is primarily used for the treatment of influenza', 'arthritis and rheumatism', 'It relieves symptoms of flu such as constant sneezing and cold', 'It is used to soothe sore throat and treating excessive cough', 'It is also helpful in the treatment of joint and muscle pains associated with rheumatism and arthritis', 'Helpful in treating issues related to the respiratory system such as dry cough', 'asthma and difficulty breathing', 'Its uses also include treatment of gastro-intestinal infection and dysentery and it also helps correct feelings of fullness and nausea', 'It is also helpful in treating severe headache associated with constipation', 'It effectively improves digestion and assists in better defecation', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool dry place away from direct sunlight and heat']"
